DATE,GNPDEF_NBD19820101
1959-01-01,33.89577
1959-04-01,33.94980
1959-07-01,34.08071
1959-10-01,34.21370
1960-01-01,34.35292
1960-04-01,34.43812
1960-07-01,34.55656
1960-10-01,34.65838
1961-01-01,34.73319
1961-04-01,34.81423
1961-07-01,34.90566
1961-10-01,35.01579
1962-01-01,35.19658
1962-04-01,35.25476
1962-07-01,35.32957
1962-10-01,35.40437
1963-01-01,35.55814
1963-04-01,35.62048
1963-07-01,35.66827
1963-10-01,35.95919
1964-01-01,36.07140
1964-04-01,36.15452
1964-07-01,36.29998
1964-10-01,36.46413
1965-01-01,36.64907
1965-04-01,36.81739
1965-07-01,36.96077
1965-10-01,37.21428
1966-01-01,37.45532
1966-04-01,37.76078
1966-07-01,38.12651
1966-10-01,38.44651
1967-01-01,38.60652
1967-04-01,38.80185
1967-07-01,39.17380
1967-10-01,39.61017
1968-01-01,40.05070
1968-04-01,40.47253
1968-07-01,40.87150
1968-10-01,41.44710
1969-01-01,41.87308
1969-04-01,42.40504
1969-07-01,43.00141
1969-10-01,43.55623
1970-01-01,44.16923
1970-04-01,44.78639
1970-07-01,45.15419
1970-10-01,45.75056
1971-01-01,46.44668
1971-04-01,47.05760
1971-07-01,47.53761
1971-10-01,47.93450
1972-01-01,48.66179
1972-04-01,48.96517
1972-07-01,49.43479
1972-10-01,50.06649
1973-01-01,50.64625
1973-04-01,51.42756
1973-07-01,52.42706
1973-10-01,53.47436
1974-01-01,54.47802
1974-04-01,55.76220
1974-07-01,57.39548
1974-10-01,59.08071
1975-01-01,60.42723
1975-04-01,61.32491
1975-07-01,62.41376
1975-10-01,63.45898
1976-01-01,64.13432
1976-04-01,64.78472
1976-07-01,65.62422
1976-10-01,66.80035
1977-01-01,67.87258
1977-04-01,68.83468
1977-07-01,69.67625
1977-10-01,71.17862
1978-01-01,72.21137
1978-04-01,73.59737
1978-07-01,74.84623
1978-10-01,76.37977
1979-01-01,77.77201
1979-04-01,79.67127
1979-07-01,81.41260
1979-10-01,82.92536
1980-01-01,84.66669
1980-04-01,86.68024
1980-07-01,88.61691
1980-10-01,90.92553
1981-01-01,93.32350
1981-04-01,95.17081
1981-07-01,96.96617
1981-10-01,98.64517
1982-01-01,100.00000
1982-04-01,101.29665
1982-07-01,102.73252
1982-10-01,103.79852
1983-01-01,104.58607
1983-04-01,105.36738
1983-07-01,106.48741
1983-10-01,107.29781
1984-01-01,108.38459
1984-04-01,109.31344
1984-07-01,110.28177
1984-10-01,111.10257
1985-01-01,112.19766
1985-04-01,112.93118
1985-07-01,113.60859
1985-10-01,114.24861
1986-01-01,114.81174
1986-04-01,115.25226
1986-07-01,115.73643
1986-10-01,116.37229
1987-01-01,117.12659
1987-04-01,117.94323
1987-07-01,118.83883
1987-10-01,119.78639
1988-01-01,120.72563
1988-04-01,121.90175
1988-07-01,123.36049
1988-10-01,124.42856
