DATE,MABMM201USQ189S_NBD19820101
1959-01-01,16.19650
1959-04-01,16.43846
1959-07-01,16.66166
1959-10-01,16.71981
1960-01-01,16.80797
1960-04-01,16.94302
1960-07-01,17.24500
1960-10-01,17.49634
1961-01-01,17.79833
1961-04-01,18.12657
1961-07-01,18.43231
1961-10-01,18.75680
1962-01-01,19.14507
1962-04-01,19.55021
1962-07-01,19.85407
1962-10-01,20.25172
1963-01-01,20.70376
1963-04-01,21.15392
1963-07-01,21.58345
1963-10-01,22.00173
1964-01-01,22.36936
1964-04-01,22.75200
1964-07-01,23.26593
1964-10-01,23.74236
1965-01-01,24.21690
1965-04-01,24.62017
1965-07-01,25.10035
1965-10-01,25.64992
1966-01-01,26.14323
1966-04-01,26.45834
1966-07-01,26.61402
1966-10-01,26.88224
1967-01-01,27.31740
1967-04-01,27.97201
1967-07-01,28.73167
1967-10-01,29.33939
1968-01-01,29.84207
1968-04-01,30.33350
1968-07-01,30.92246
1968-10-01,31.63897
1969-01-01,32.17916
1969-04-01,32.46239
1969-07-01,32.66872
1969-10-01,32.95007
1970-01-01,33.07199
1970-04-01,33.29519
1970-07-01,34.04734
1970-10-01,34.96267
1971-01-01,36.08433
1971-04-01,37.47796
1971-07-01,38.59399
1971-10-01,39.63874
1972-01-01,40.83168
1972-04-01,41.85392
1972-07-01,43.26256
1972-10-01,44.69933
1973-01-01,45.76096
1973-04-01,46.51311
1973-07-01,47.16585
1973-10-01,47.77357
1974-01-01,48.65514
1974-04-01,49.24223
1974-07-01,49.76929
1974-10-01,50.53082
1975-01-01,51.49492
1975-04-01,53.38185
1975-07-01,55.32693
1975-10-01,56.66242
1976-01-01,58.46307
1976-04-01,60.21870
1976-07-01,61.81866
1976-10-01,64.05822
1977-01-01,66.23589
1977-04-01,68.01966
1977-07-01,69.58585
1977-10-01,71.02637
1978-01-01,72.35248
1978-04-01,73.70297
1978-07-01,75.07597
1978-10-01,76.47897
1979-01-01,77.60063
1979-04-01,79.44067
1979-07-01,81.32010
1979-10-01,82.52992
1980-01-01,83.97607
1980-04-01,85.22527
1980-07-01,87.80058
1980-10-01,89.66500
1981-01-01,91.19931
1981-04-01,93.66583
1981-07-01,95.32581
1981-10-01,97.78670
1982-01-01,100.00000
1982-04-01,102.13640
1982-07-01,103.84139
1982-10-01,106.17474
1983-01-01,112.02498
1983-04-01,114.90603
1983-07-01,116.72169
1983-10-01,118.84120
1984-01-01,121.40526
1984-04-01,124.01996
1984-07-01,125.65930
1984-10-01,128.44093
1985-01-01,132.30484
1985-04-01,134.64756
1985-07-01,137.50797
1985-10-01,139.53746
1986-01-01,141.61008
1986-04-01,145.35957
1986-07-01,149.00026
1986-10-01,152.31271
1987-01-01,154.71546
1987-04-01,156.04907
1987-07-01,157.02442
1987-10-01,158.81382
1988-01-01,161.59920
1988-04-01,164.72784
1988-07-01,166.24902
1988-10-01,167.70642
